Sembol,Alis_Tarihi,Satis_Tarihi,Alis_Fiyati,Satis_Fiyati,Sonuc,Net_PNL,Kasa_Etkisi
ETN,2025-09-11,2025-09-22,360.08,378.31,KAR (TP),503.28,130958.28
ETN,2025-09-23,2025-10-29,368.52,387.75,KAR (TP),518.82,131474.1
ETN,2025-10-30,2025-11-11,383.09,367.91,ZARAR (SL),-399.25,131071.85
AOS,2024-02-29,2024-03-15,80.25,84.31,KAR (TP),502.43,131571.27
AOS,2024-03-18,2024-04-25,83.12,80.17,ZARAR (SL),-357.07,131211.21
AOS,2024-06-24,2024-06-28,82.05,79.47,ZARAR (SL),-316.87,130891.34
AOS,2024-07-10,2024-07-12,80.65,85.35,KAR (TP),580.2,131468.54
AOS,2024-07-15,2024-07-23,85.32,78.2,ZARAR (SL),-837.85,130627.69
AOS,2024-07-31,2024-08-02,82.95,80.38,ZARAR (SL),-313.44,130311.25
AOS,2024-09-16,2024-09-25,79.69,83.73,KAR (TP),503.73,130811.98
AOS,2024-10-08,2024-10-11,84.33,78.88,ZARAR (SL),-648.46,130160.52
AOS,2025-01-17,2025-01-29,70.36,67.82,ZARAR (SL),-363.67,129793.85
AOS,2025-03-05,2025-04-03,65.49,62.69,ZARAR (SL),-430.07,129360.78
AOS,2025-04-30,2025-05-28,67.17,63.58,ZARAR (SL),-537.92,128819.86
AOS,2025-07-16,2025-07-24,67.36,73.19,KAR (TP),862.54,129679.4
AOS,2025-07-25,2025-10-10,71.33,67.38,ZARAR (SL),-555.76,129120.63
EMR,2024-02-08,2024-03-01,98.8,104.88,KAR (TP),612.07,129728.2
EMR,2024-05-31,2024-06-04,109.28,104.12,ZARAR (SL),-474.65,129250.55
EMR,2024-07-02,2024-07-15,106.46,113.96,KAR (TP),701.68,129949.22
EMR,2024-07-19,2024-08-02,112.71,106.4,ZARAR (SL),-562.3,129383.92
EMR,2024-09-17,2024-09-27,101.74,106.95,KAR (TP),509.03,129889.95
EMR,2025-01-21,2025-02-05,127.31,122.67,ZARAR (SL),-367.53,129519.42
EMR,2025-02-06,2025-02-21,125.34,120.32,ZARAR (SL),-404.19,129112.23
EMR,2025-05-06,2025-05-12,105.92,117.91,KAR (TP),1128.72,130237.95
EMR,2025-05-30,2025-06-09,118.4,124.57,KAR (TP),518.03,130752.98
EMR,2025-07-30,2025-08-05,144.86,139.41,ZARAR (SL),-378.87,130371.11
EMR,2025-09-05,2025-10-10,131.98,125.47,ZARAR (SL),-496.4,129871.71
EMR,2025-10-27,2025-11-07,133.88,128.93,ZARAR (SL),-372.63,129496.08
EMR,2025-12-04,2025-12-17,136.64,131.64,ZARAR (SL),-368.93,129124.16
PCAR,2024-03-14,2024-03-19,108.2,113.64,KAR (TP),499.56,129620.72
PCAR,2024-04-03,2024-04-17,113.1,108.88,ZARAR (SL),-375.86,129241.86
PCAR,2024-05-31,2024-06-27,101.25,97.92,ZARAR (SL),-331.37,128907.48
PCAR,2024-07-17,2024-07-23,102.86,91.45,ZARAR (SL),-1111.87,127792.61
PCAR,2024-09-03,2024-09-05,90.29,87.47,ZARAR (SL),-315.89,127473.72
PCAR,2024-09-09,2024-10-03,89.73,95.67,KAR (TP),658.26,128128.98
PCAR,2024-10-22,2024-11-06,99.01,109.61,KAR (TP),1067.71,129193.69
PCAR,2024-11-25,2024-12-12,110.4,106.86,ZARAR (SL),-323.92,128866.77
PCAR,2025-01-21,2025-02-07,107.3,103.32,ZARAR (SL),-374.45,128489.33
PCAR,2025-03-06,2025-03-12,104.49,100.03,ZARAR (SL),-429.61,128056.72
PCAR,2025-05-15,2025-06-02,94.14,90.02,ZARAR (SL),-440.64,127613.08
PCAR,2025-06-26,2025-07-23,93.07,99.18,KAR (TP),653.62,128263.7
PCAR,2025-07-24,2025-08-01,99.49,94.64,ZARAR (SL),-491.02,127769.68
PCAR,2025-08-22,2025-09-03,99.89,94.69,ZARAR (SL),-523.2,127243.48
PCAR,2025-09-11,2025-09-22,100.14,95.53,ZARAR (SL),-463.89,126776.59
PCAR,2025-10-20,2025-11-17,95.93,92.97,ZARAR (SL),-311.98,126461.61
PCAR,2025-11-21,2025-12-03,101.7,107.18,KAR (TP),535.89,126994.5
ROK,2024-03-04,2024-03-18,279.57,269.87,ZARAR (SL),-350.02,126639.98
ROK,2024-03-21,2024-04-02,281.44,271.87,ZARAR (SL),-342.89,126294.09
ROK,2024-04-12,2024-04-18,276.32,265.34,ZARAR (SL),-400.44,125890.64
ROK,2024-06-24,2024-07-12,259.14,276.17,KAR (TP),654.47,126542.11
ROK,2024-08-21,2024-09-04,260.08,251.38,ZARAR (SL),-337.78,126201.33
ROK,2024-09-19,2024-09-25,262.71,252.73,ZARAR (SL),-382.9,125815.43
ROK,2024-09-26,2024-11-06,265.58,287.95,KAR (TP),839.31,126651.74
ROK,2024-11-07,2024-11-22,271.39,286.18,KAR (TP),542.22,127190.97
ROK,2024-11-25,2024-12-18,293.9,283.06,ZARAR (SL),-371.6,126816.37
ROK,2025-01-21,2025-01-29,286.1,274.42,ZARAR (SL),-411.23,126402.14
ROK,2025-02-10,2025-02-25,297.48,285.38,ZARAR (SL),-409.81,125989.34
ROK,2025-06-20,2025-07-01,318.99,336.08,KAR (TP),532.8,126519.13
ROK,2025-07-07,2025-07-17,336.4,353.83,KAR (TP),515.1,127031.24
ROK,2025-07-22,2025-08-06,350.98,326.21,ZARAR (SL),-708.56,126319.68
ROK,2025-09-08,2025-10-10,343.41,332.53,ZARAR (SL),-319.83,125996.85
ROK,2025-10-15,2025-11-06,350.8,371.14,KAR (TP),576.68,126570.53
ROK,2025-11-07,2025-11-12,372.12,393.1,KAR (TP),560.6,127128.14
ROK,2025-11-13,2025-11-18,378.3,366.01,ZARAR (SL),-327.89,126797.25
ROK,2025-11-19,2025-11-25,372.48,391.3,KAR (TP),502.26,127296.51
ROK,2025-12-04,2025-12-17,403.89,389.54,ZARAR (SL),-358.29,126935.21
SWK,2024-03-08,2024-03-15,85.11,82.01,ZARAR (SL),-367.01,126565.2
SWK,2024-03-19,2024-03-21,84.35,89.14,KAR (TP),565.05,127127.25
SWK,2024-03-25,2024-04-12,87.85,85.11,ZARAR (SL),-315.4,126808.85
SWK,2024-07-11,2024-07-26,81.64,89.62,KAR (TP),974.8,127780.65
SWK,2024-08-01,2024-08-05,95.32,89.88,ZARAR (SL),-573.44,127204.21
SWK,2024-09-05,2024-09-18,93.12,99.28,KAR (TP),658.85,127860.06
SWK,2024-09-19,2024-10-23,102.26,97.78,ZARAR (SL),-440.88,127416.18
SWK,2025-01-17,2025-01-23,80.51,84.54,KAR (TP),497.77,127910.95
SWK,2025-01-28,2025-02-03,84.88,81.37,ZARAR (SL),-416.1,127491.85
SWK,2025-02-04,2025-03-04,82.8,78.58,ZARAR (SL),-511.64,126977.22
SWK,2025-03-07,2025-03-11,85.84,79.94,ZARAR (SL),-689.75,126284.47
SWK,2025-06-30,2025-07-02,66.22,69.94,KAR (TP),559.36,126840.83
SWK,2025-07-22,2025-07-29,71.15,67.06,ZARAR (SL),-578.55,126259.28
SWK,2025-08-13,2025-08-21,74.26,71.47,ZARAR (SL),-378.1,125878.18
SWK,2025-08-26,2025-09-02,73.49,70.89,ZARAR (SL),-356.73,125518.45
SWK,2025-09-03,2025-09-05,72.0,77.51,KAR (TP),761.59,126277.04
SWK,2025-09-08,2025-09-22,77.51,74.15,ZARAR (SL),-436.56,125837.48
SWK,2025-12-03,2025-12-11,72.53,76.54,KAR (TP),549.87,126384.35
TDY,2024-03-28,2024-04-08,429.32,414.57,ZARAR (SL),-346.57,126033.28
TDY,2024-05-23,2024-05-29,400.98,385.94,ZARAR (SL),-378.08,125652.2
TDY,2024-07-11,2024-07-24,393.99,417.0,KAR (TP),581.03,126230.23
TDY,2024-08-02,2024-08-30,410.54,432.8,KAR (TP),539.21,126766.44
TDY,2024-09-03,2024-10-02,420.0,443.17,KAR (TP),548.67,127312.11
TDY,2024-10-07,2024-10-23,436.59,470.09,KAR (TP),764.31,128073.42
TDY,2024-10-31,2024-11-06,455.32,480.74,KAR (TP),555.29,128625.71
TDY,2024-11-15,2025-01-06,470.15,455.51,ZARAR (SL),-314.39,128308.32
TDY,2025-01-17,2025-01-22,473.89,511.67,KAR (TP),794.23,129099.55
TDY,2025-03-03,2025-03-04,512.96,492.96,ZARAR (SL),-392.89,128703.65
TDY,2025-03-21,2025-04-03,501.82,471.6,ZARAR (SL),-605.21,128095.45
TDY,2025-05-02,2025-06-09,478.83,505.36,KAR (TP),551.06,128643.5
TDY,2025-06-10,2025-07-10,500.56,527.52,KAR (TP),535.6,129176.1
TDY,2025-08-04,2025-09-30,552.26,586.04,KAR (TP),608.67,129781.77
TDY,2025-10-01,2025-10-22,575.07,543.73,ZARAR (SL),-547.98,129230.79
RSG,2024-02-13,2024-02-23,172.33,181.52,KAR (TP),530.57,129756.86
RSG,2024-03-15,2024-07-05,182.83,192.32,KAR (TP),516.02,130269.87
RSG,2024-07-23,2024-07-25,196.41,186.84,ZARAR (SL),-490.34,129776.53
RSG,2024-08-02,2024-11-08,197.36,209.4,KAR (TP),607.07,130380.61
RSG,2024-11-11,2024-12-18,209.63,201.36,ZARAR (SL),-397.67,129979.93
RSG,2025-01-29,2025-02-11,210.72,221.58,KAR (TP),512.28,130489.22
RSG,2025-02-18,2025-03-31,226.84,240.35,KAR (TP),592.49,131078.71
RSG,2025-04-09,2025-05-07,238.04,250.52,KAR (TP),521.53,131597.24
RSG,2025-05-22,2025-07-02,249.72,237.04,ZARAR (SL),-510.78,131083.47
WM,2024-02-09,2024-02-13,183.46,193.79,KAR (TP),559.85,131638.82
WM,2024-04-02,2024-05-29,205.8,199.03,ZARAR (SL),-332.21,131303.61
WM,2024-05-31,2024-06-03,205.43,196.24,ZARAR (SL),-450.49,130850.12
WM,2024-09-03,2024-09-18,204.9,198.25,ZARAR (SL),-327.21,130519.91
WM,2024-10-23,2024-11-08,208.0,220.09,KAR (TP),578.68,131095.59
WM,2024-11-12,2024-11-15,220.74,213.99,ZARAR (SL),-309.08,130783.51
WM,2024-11-21,2024-12-13,217.55,210.07,ZARAR (SL),-346.7,130433.81
WM,2025-01-29,2025-01-30,206.48,219.17,KAR (TP),611.65,131042.46
WM,2025-01-31,2025-02-28,217.03,229.37,KAR (TP),565.42,131604.88
WM,2025-03-04,2025-03-12,226.59,219.59,ZARAR (SL),-311.75,131290.13
WM,2025-03-17,2025-04-07,225.68,218.13,ZARAR (SL),-337.37,130949.76
WM,2025-04-28,2025-05-30,226.56,238.32,KAR (TP),516.03,131462.79
WM,2025-07-29,2025-08-14,233.77,224.44,ZARAR (SL),-402.47,131057.32
WM,2025-10-10,2025-10-28,218.41,203.44,ZARAR (SL),-688.06,130366.26
CARR,2024-02-02,2024-02-06,55.54,53.12,ZARAR (SL),-438.01,129923.75
CARR,2024-02-29,2024-03-07,54.37,58.25,KAR (TP),711.28,130632.03
CARR,2024-03-08,2024-04-04,56.78,54.63,ZARAR (SL),-381.98,130247.05
CARR,2024-04-25,2024-05-06,58.5,62.86,KAR (TP),740.98,130985.03
CARR,2024-06-24,2024-07-01,63.6,60.92,ZARAR (SL),-425.4,130556.62
CARR,2024-07-11,2024-07-16,65.36,68.77,KAR (TP),519.51,131073.13
CARR,2024-07-17,2024-07-25,66.51,63.8,ZARAR (SL),-409.93,130660.21
CARR,2024-08-15,2024-08-30,67.31,71.63,KAR (TP),637.35,131294.56
CARR,2024-09-03,2024-09-11,68.95,72.5,KAR (TP),512.27,131803.83
CARR,2024-09-12,2024-09-19,74.17,79.29,KAR (TP),686.93,132487.76
CARR,2024-10-09,2024-10-24,80.78,71.74,ZARAR (SL),-1121.42,131363.34
CARR,2024-11-21,2024-12-06,75.0,72.69,ZARAR (SL),-310.85,131049.48
CARR,2025-01-21,2025-01-27,69.85,66.76,ZARAR (SL),-445.24,130601.24
CARR,2025-03-07,2025-03-13,66.72,63.61,ZARAR (SL),-468.94,130129.3
CARR,2025-03-21,2025-03-28,65.51,62.7,ZARAR (SL),-432.2,129694.1
CARR,2025-06-27,2025-07-23,73.17,79.31,KAR (TP),835.12,130526.22
CARR,2025-10-21,2025-10-22,59.59,56.52,ZARAR (SL),-517.88,130005.34
CARR,2025-10-29,2025-10-30,60.75,58.85,ZARAR (SL),-315.76,129686.59
ITW,2024-01-26,2024-02-05,251.83,243.96,ZARAR (SL),-315.49,129366.6
ITW,2024-02-22,2024-04-17,248.24,240.75,ZARAR (SL),-304.82,129058.78
ITW,2024-05-16,2024-05-23,240.97,232.94,ZARAR (SL),-336.11,128719.67
ITW,2024-06-24,2024-07-01,234.04,226.52,ZARAR (SL),-324.34,128392.34
ITW,2024-07-18,2024-07-24,241.93,232.24,ZARAR (SL),-403.74,127985.6
ITW,2024-07-29,2024-08-05,240.7,232.3,ZARAR (SL),-352.17,127630.43
ITW,2024-09-04,2024-09-19,237.51,250.35,KAR (TP),537.6,128165.03
ITW,2024-09-20,2024-11-05,246.82,260.05,KAR (TP),533.04,128695.07
ITW,2024-11-22,2024-12-18,267.39,254.97,ZARAR (SL),-467.32,128224.75
ITW,2025-01-22,2025-03-07,254.43,269.49,KAR (TP),588.96,128810.71
ITW,2025-03-10,2025-03-11,262.8,250.19,ZARAR (SL),-483.07,128324.64
